doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
Post-Minutes Package - BCM_Apr10_2019 - English.Html,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1185,School District 68,,Index record for sd68 escribe document identifier 1185,escribe,sd68-archive,public-registry
Agenda.Css,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1186,School District 68,,Index record for sd68 escribe document identifier 1186,escribe,sd68-archive,public-registry
Post-Meeting Minutes - BCM_Apr10_2019 - English.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1187,School District 68,,Index record for sd68 escribe document identifier 1187,escribe,sd68-archive,public-registry
Agenda Package - BE_May29_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1212,School District 68,,Index record for sd68 escribe document identifier 1212,escribe,sd68-archive,public-registry
Agenda Package - BE_May29_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1239,School District 68,,Index record for sd68 escribe document identifier 1239,escribe,sd68-archive,public-registry
Agenda Package - BE_May29_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1267,School District 68,,Index record for sd68 escribe document identifier 1267,escribe,sd68-archive,public-registry
AS - Capital Bylaw Amendment.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1268,School District 68,,Index record for sd68 escribe document identifier 1268,escribe,sd68-archive,public-registry
S72(3) Report April 10 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1269,School District 68,,Index record for sd68 escribe document identifier 1269,escribe,sd68-archive,public-registry
S72(3) Report April 17 2019 (1).pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1270,School District 68,,Index record for sd68 escribe document identifier 1270,escribe,sd68-archive,public-registry
S72(3) Report April 17 2019 (2).pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1271,School District 68,,Index record for sd68 escribe document identifier 1271,escribe,sd68-archive,public-registry
S72(3) Report April 24 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1272,School District 68,,Index record for sd68 escribe document identifier 1272,escribe,sd68-archive,public-registry
Detail by Schools April 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1273,School District 68,,Index record for sd68 escribe document identifier 1273,escribe,sd68-archive,public-registry
Summary by Schools April 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1274,School District 68,,Index record for sd68 escribe document identifier 1274,escribe,sd68-archive,public-registry
C. McMahon.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1275,School District 68,,Index record for sd68 escribe document identifier 1275,escribe,sd68-archive,public-registry
Ministry of Educaiton.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1276,School District 68,,Index record for sd68 escribe document identifier 1276,escribe,sd68-archive,public-registry
CUPE.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1277,School District 68,,Index record for sd68 escribe document identifier 1277,escribe,sd68-archive,public-registry
S. Myers.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1278,School District 68,,Index record for sd68 escribe document identifier 1278,escribe,sd68-archive,public-registry
Harewood Neighbourhood Association.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1279,School District 68,,Index record for sd68 escribe document identifier 1279,escribe,sd68-archive,public-registry
