doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
2012 05 22 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2012-05-22-government-services-agenda.pdf,Town of Ladysmith,2012-05-22,,agenda-pkg,government-services-committee,
2012 06 18 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2012-06-18-government-services-agenda.pdf,Town of Ladysmith,2012-06-18,,agenda-pkg,government-services-committee,
2012 07 16 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2012-07-16-government-services-agenda.pdf,Town of Ladysmith,2012-07-16,,agenda-pkg,government-services-committee,
2012 09 17 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2012-09-17-government-services-agenda.pdf,Town of Ladysmith,2012-09-17,,agenda-pkg,government-services-committee,
2012 10 15 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2012-10-15-government-services-agenda.pdf,Town of Ladysmith,2012-10-15,,agenda-pkg,government-services-committee,
2012 11 19 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2012-11-19-government-services-agenda.pdf,Town of Ladysmith,2012-11-19,,agenda-pkg,government-services-committee,
2012 12 17 Govt Services Agenda R,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2012-12-17-govt-services-agenda-r.pdf,Town of Ladysmith,2012-12-17,,agenda-pkg,government-services-committee,
2013 01 21 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2013-01-21-government-services-agenda.pdf,Town of Ladysmith,2013-01-21,,agenda-pkg,government-services-committee,
2013 02 18 Government Services Agenda Reduced,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2013-02-18-government-services-agenda-reduced.pdf,Town of Ladysmith,2013-02-18,,agenda-pkg,government-services-committee,
2013 03 18 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2013-03-18-government-services-agenda.pdf,Town of Ladysmith,2013-03-18,,agenda-pkg,government-services-committee,
2013 04 15 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2013-04-15-government-services-agenda.pdf,Town of Ladysmith,2013-04-15,,agenda-pkg,government-services-committee,
2013 05 21 Government Services Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2013-05-21-government-services-agenda.pdf,Town of Ladysmith,2013-05-21,,agenda-pkg,government-services-committee,
